PRISM
=====

Version: 4.6
Date: Sun May 15 17:59:02 IRDT 2022
Hostname: sadegh-H81M-S2PH
Memory limits: cudd=1g, java(heap)=910.5m
Command line: prism ../prism-examples/mdps/consensus/coin4.nm ../prism-examples/mdps/consensus/coin.pctl -noprob1 -maxiters 9000500 -s -prop 4 -const K=50 -mod3

Parsing model file "../prism-examples/mdps/consensus/coin4.nm"...

Type:        MDP
Modules:     process1 process2 process3 process4 
Variables:   counter pc1 coin1 pc2 coin2 pc3 coin3 pc4 coin4 

Parsing properties file "../prism-examples/mdps/consensus/coin.pctl"...

8 properties:
(1) P>=1 [ F "finished" ]
(2) Pmin=? [ F "finished"&"all_coins_equal_0" ]
(3) Pmin=? [ F "finished"&"all_coins_equal_1" ]
(4) Pmax=? [ F "finished"&!"agree" ]
(5) Pmin=? [ F<=k "finished" ]
(6) Pmax=? [ F<=k "finished" ]
(7) R{"steps"}min=? [ F "finished" ]
(8) R{"steps"}max=? [ F "finished" ]

---------------------------------------------------------------------

Model checking: Pmax=? [ F "finished"&!"agree" ]
Model constants: K=50

Building model...
Model constants: K=50

Computing reachable states...

Reachability (BFS): 2403 iterations in 0.28 seconds (average 0.000115, setup 0.00)

Time for model construction: 0.642 seconds.

Type:        MDP
States:      514176 (1 initial)
Transitions: 1734112
Choices:     1387648

Transition matrix: 2484 nodes (3 terminal), 1734112 minterms, vars: 21r/21c/4nd

Prob0A: 1805 iterations in 0.95 seconds (average 0.000525, setup 0.00)

yes = 56, no = 910, maybe = 513210

Computing remaining probabilities...
Engine: Sparse

Building sparse matrix... [n=514176, nc=1385224, nnz=1731464, k=4] [21.6 MB]
Creating vector for yes... [3.9 MB]
Allocating iteration vectors... [2 x 3.9 MB]
TOTAL: [33.4 MB]

Starting iterations...
Iteration 1602: max relative diff=0.332090, 5.00 sec so far
Iteration 3001: max relative diff=0.089393, 10.00 sec so far
Iteration 4231: max relative diff=0.043837, 15.00 sec so far
Iteration 5666: max relative diff=0.023918, 20.01 sec so far
Iteration 7138: max relative diff=0.014774, 25.01 sec so far
Iteration 8428: max relative diff=0.010441, 30.01 sec so far
Iteration 9639: max relative diff=0.007875, 35.02 sec so far
Iteration 11057: max relative diff=0.005893, 40.02 sec so far
Iteration 12606: max relative diff=0.004463, 45.02 sec so far
Iteration 14085: max relative diff=0.003524, 50.03 sec so far
Iteration 15481: max relative diff=0.002886, 55.03 sec so far
Iteration 16966: max relative diff=0.002378, 60.03 sec so far
Iteration 18338: max relative diff=0.002016, 65.03 sec so far
Iteration 19544: max relative diff=0.001760, 70.04 sec so far
Iteration 21025: max relative diff=0.001506, 75.04 sec so far
Iteration 22587: max relative diff=0.001291, 80.04 sec so far
Iteration 24052: max relative diff=0.001128, 85.04 sec so far
Iteration 25462: max relative diff=0.000997, 90.05 sec so far
Iteration 26818: max relative diff=0.000891, 95.05 sec so far
Iteration 28310: max relative diff=0.000792, 100.05 sec so far
Iteration 29988: max relative diff=0.000698, 105.06 sec so far
Iteration 31674: max relative diff=0.000619, 110.06 sec so far
Iteration 33270: max relative diff=0.000556, 115.06 sec so far
Iteration 34880: max relative diff=0.000501, 120.06 sec so far
Iteration 36524: max relative diff=0.000452, 125.06 sec so far
Iteration 38117: max relative diff=0.000411, 130.06 sec so far
Iteration 39792: max relative diff=0.000374, 135.06 sec so far
Iteration 41484: max relative diff=0.000340, 140.06 sec so far
Iteration 43204: max relative diff=0.000311, 145.07 sec so far
Iteration 44906: max relative diff=0.000285, 150.07 sec so far
Iteration 46629: max relative diff=0.000262, 155.07 sec so far
Iteration 48349: max relative diff=0.000241, 160.07 sec so far
Iteration 50067: max relative diff=0.000223, 165.08 sec so far
Iteration 51784: max relative diff=0.000206, 170.08 sec so far
Iteration 53503: max relative diff=0.000191, 175.08 sec so far
Iteration 55219: max relative diff=0.000178, 180.08 sec so far
Iteration 56940: max relative diff=0.000166, 185.08 sec so far
Iteration 58666: max relative diff=0.000155, 190.09 sec so far
Iteration 60391: max relative diff=0.000145, 195.09 sec so far
Iteration 62118: max relative diff=0.000136, 200.09 sec so far
Iteration 63844: max relative diff=0.000127, 205.09 sec so far
Iteration 65566: max relative diff=0.000120, 210.10 sec so far
Iteration 67290: max relative diff=0.000113, 215.10 sec so far
Iteration 69017: max relative diff=0.000106, 220.10 sec so far
Iteration 70748: max relative diff=0.000100, 225.10 sec so far
Iteration 72473: max relative diff=0.000095, 230.10 sec so far
Iteration 74197: max relative diff=0.000090, 235.11 sec so far
Iteration 75917: max relative diff=0.000085, 240.11 sec so far
Iteration 77617: max relative diff=0.000081, 245.11 sec so far
